Date,Open,High,Low,Close,Adj Close,Volume
2018-01-17,0.153987,0.196066,0.150681,0.183236,0.183236,10023000
2018-01-18,0.183493,0.237408,0.171234,0.195550,0.195550,8838400
2018-01-19,0.194234,0.199895,0.152238,0.180431,0.180431,6949030
2018-01-20,0.181328,0.191841,0.174591,0.189888,0.189888,8285020
2018-01-21,0.189285,0.190032,0.153868,0.165060,0.165060,5526050
2018-01-22,0.164153,0.174950,0.142455,0.153641,0.153641,6522240
2018-01-23,0.153073,0.161721,0.140688,0.147170,0.147170,6450150
2018-01-24,0.146090,0.232905,0.140445,0.213196,0.213196,20395700
2018-01-25,0.214528,0.313683,0.209752,0.294345,0.294345,29532100
2018-01-26,0.292058,0.310997,0.226689,0.299985,0.299985,44487700
2018-01-27,0.299805,0.314425,0.248421,0.276173,0.276173,85674000
2018-01-28,0.273084,0.302459,0.247338,0.295203,0.295203,324792992
2018-01-29,0.294244,0.294304,0.256949,0.280549,0.280549,203568992
2018-01-30,0.280615,0.280615,0.208362,0.215545,0.215545,17125000
2018-01-31,0.214172,0.240726,0.197986,0.216923,0.216923,26505600
2018-02-01,0.217212,0.238899,0.171519,0.191733,0.191733,29135600
2018-02-02,0.191330,0.191330,0.134650,0.171195,0.171195,14172600
2018-02-03,0.172209,0.195171,0.159459,0.187378,0.187378,22331900
2018-02-04,0.187827,0.187827,0.151232,0.151717,0.151717,18977100
2018-02-05,0.151333,0.153098,0.111456,0.117059,0.117059,13071100
2018-02-06,0.117369,0.137095,0.096439,0.137095,0.137095,14127500
2018-02-07,0.136717,0.146998,0.120970,0.121584,0.121584,16069800
2018-02-08,0.122202,0.138908,0.122202,0.129903,0.129903,14773100
2018-02-09,0.130409,0.147348,0.119350,0.142076,0.142076,16085500
2018-02-10,0.141887,0.146879,0.125475,0.130149,0.130149,9057960
2018-02-11,0.130051,0.130051,0.107196,0.116703,0.116703,8291120
2018-02-12,0.117487,0.123266,0.110941,0.116731,0.116731,8611540
2018-02-13,0.116505,0.117736,0.113262,0.114807,0.114807,6377880
2018-02-14,0.114635,0.129245,0.114402,0.128850,0.128850,8532220
2018-02-15,0.129072,0.151342,0.121846,0.142142,0.142142,15733200
2018-02-16,0.141906,0.144463,0.131859,0.140653,0.140653,9728440
2018-02-17,0.140548,0.193687,0.138909,0.166375,0.166375,17193000
2018-02-18,0.168048,0.182204,0.151847,0.166218,0.166218,15313000
2018-02-19,0.167082,0.176484,0.164938,0.169770,0.169770,10242100
2018-02-20,0.169594,0.171311,0.143438,0.144192,0.144192,10319600
2018-02-21,0.143736,0.147146,0.124211,0.127978,0.127978,9204880
2018-02-22,0.127939,0.143181,0.120810,0.129894,0.129894,7852400
2018-02-23,0.129685,0.134863,0.124576,0.130729,0.130729,7672910
2018-02-24,0.131313,0.136299,0.122668,0.126268,0.126268,7052710
2018-02-25,0.126074,0.128987,0.112984,0.114002,0.114002,6773400
2018-02-26,0.113882,0.132005,0.112508,0.125553,0.125553,7285370
2018-02-27,0.125316,0.149845,0.121283,0.139497,0.139497,9884140
2018-02-28,0.139438,0.148948,0.131849,0.145670,0.145670,12627500
2018-03-01,0.146298,0.213360,0.145689,0.211598,0.211598,37765000
2018-03-02,0.212539,0.212539,0.171023,0.195717,0.195717,29473000
2018-03-03,0.194724,0.234922,0.182687,0.229566,0.229566,30205500
2018-03-04,0.229053,0.240875,0.202407,0.216126,0.216126,29309100
2018-03-05,0.215020,0.223604,0.202781,0.214687,0.214687,23577400
2018-03-06,0.214717,0.217882,0.183794,0.201824,0.201824,19680000
2018-03-07,0.203347,0.208011,0.152901,0.168804,0.168804,16381000
2018-03-08,0.168495,0.176365,0.131280,0.140874,0.140874,14515700
2018-03-09,0.137751,0.174000,0.120192,0.170549,0.170549,16600700
2018-03-10,0.167886,0.192040,0.157478,0.163999,0.163999,27255700
2018-03-11,0.162779,0.187665,0.152188,0.183699,0.183699,22180800
2018-03-12,0.182797,0.183399,0.163161,0.166717,0.166717,19081900
2018-03-13,0.166309,0.168299,0.157052,0.163033,0.163033,7329330
2018-03-14,0.163269,0.163871,0.145927,0.147562,0.147562,9748800
2018-03-15,0.147034,0.149427,0.133816,0.147013,0.147013,8986450
2018-03-16,0.146242,0.152462,0.138017,0.146866,0.146866,8123190
2018-03-17,0.146411,0.149649,0.139881,0.141918,0.141918,7050640
2018-03-18,0.142113,0.142113,0.119327,0.140027,0.140027,9116510
2018-03-19,0.139378,0.150678,0.136525,0.146700,0.146700,9114590
2018-03-20,0.148350,0.161680,0.137923,0.154389,0.154389,10109000
2018-03-21,0.154989,0.165540,0.149633,0.154525,0.154525,9611230
2018-03-22,0.154204,0.157156,0.140480,0.148363,0.148363,9355440
2018-03-23,0.148163,0.152973,0.138550,0.151415,0.151415,10236200
2018-03-24,0.151344,0.155577,0.144276,0.145453,0.145453,8571310
2018-03-25,0.143884,0.149350,0.142799,0.144067,0.144067,8306740
2018-03-26,0.143958,0.144941,0.125680,0.132175,0.132175,9037050
2018-03-27,0.132145,0.134624,0.125657,0.128748,0.128748,6311520
2018-03-28,0.128581,0.138951,0.127246,0.133061,0.133061,10087600
2018-03-29,0.133272,0.134518,0.115550,0.118262,0.118262,9063930
2018-03-30,0.118176,0.121997,0.113143,0.115874,0.115874,7796050
2018-03-31,0.115963,0.122974,0.114503,0.116529,0.116529,7199390
2018-04-01,0.116581,0.118393,0.105627,0.108211,0.108211,6086040
2018-04-02,0.108435,0.117682,0.106909,0.114432,0.114432,8226320
2018-04-03,0.114683,0.121885,0.113337,0.119189,0.119189,7873560
2018-04-04,0.119296,0.119665,0.107558,0.108928,0.108928,7071780
2018-04-05,0.108986,0.111727,0.105139,0.106939,0.106939,6169840
2018-04-06,0.106794,0.109350,0.099225,0.100608,0.100608,8200730
2018-04-07,0.100571,0.107833,0.100571,0.103752,0.103752,7640780
2018-04-08,0.103862,0.108032,0.103683,0.104873,0.104873,7083290
2018-04-09,0.104873,0.109135,0.100293,0.105951,0.105951,8026430
2018-04-10,0.105893,0.108582,0.101303,0.104376,0.104376,7718280
2018-04-11,0.104374,0.115490,0.104374,0.113103,0.113103,10436800
2018-04-12,0.113149,0.126124,0.107844,0.125129,0.125129,17461200
2018-04-13,0.126065,0.136605,0.122085,0.125122,0.125122,14384300
2018-04-14,0.124428,0.128207,0.116684,0.121116,0.121116,9716410
2018-04-15,0.121236,0.126946,0.121236,0.124803,0.124803,8294150
2018-04-16,0.124872,0.127099,0.111821,0.117285,0.117285,11060200
2018-04-17,0.117416,0.121641,0.114065,0.116565,0.116565,9419270
2018-04-18,0.116528,0.124557,0.116445,0.123884,0.123884,8426960
2018-04-19,0.123999,0.144589,0.123656,0.136813,0.136813,12325100
2018-04-20,0.137462,0.146216,0.131327,0.144590,0.144590,11231000
2018-04-21,0.144620,0.149003,0.130630,0.145424,0.145424,14194500
2018-04-22,0.145757,0.163585,0.142653,0.151485,0.151485,14291300
2018-04-23,0.151343,0.156844,0.145545,0.149443,0.149443,11423600
2018-04-24,0.148706,0.161335,0.147647,0.159576,0.159576,14929100
2018-04-25,0.159202,0.159202,0.125768,0.129745,0.129745,12941700
2018-04-26,0.130433,0.147618,0.126131,0.146695,0.146695,9966260
2018-04-27,0.146692,0.146692,0.134419,0.134419,0.134419,7752820
2018-04-28,0.132752,0.146156,0.131798,0.143680,0.143680,8537370
2018-04-29,0.143700,0.153899,0.141431,0.148275,0.148275,10438000
2018-04-30,0.148042,0.150877,0.141605,0.142906,0.142906,7770670
2018-05-01,0.142865,0.142959,0.133871,0.141365,0.141365,8237290
2018-05-02,0.141110,0.149644,0.139737,0.146728,0.146728,6558440
2018-05-03,0.146772,0.182187,0.146772,0.174480,0.174480,14623700
2018-05-04,0.173961,0.181143,0.168867,0.175959,0.175959,9149110
2018-05-05,0.176099,0.178950,0.166243,0.166655,0.166655,7430260
2018-05-06,0.168046,0.168046,0.151387,0.164223,0.164223,7593180
2018-05-07,0.164657,0.209514,0.152662,0.209514,0.209514,20625400
2018-05-08,0.210024,0.224446,0.187709,0.200235,0.200235,15782200
2018-05-09,0.198916,0.214517,0.180735,0.214517,0.214517,9916050
2018-05-10,0.217579,0.233493,0.211570,0.217817,0.217817,15202300
2018-05-11,0.217040,0.217040,0.170581,0.179868,0.179868,11757400
2018-05-12,0.179415,0.185778,0.157182,0.185778,0.185778,10638200
2018-05-13,0.186315,0.195285,0.173751,0.191189,0.191189,8077280
2018-05-14,0.191347,0.235929,0.179477,0.235929,0.235929,15109100
2018-05-15,0.235750,0.245458,0.218552,0.233933,0.233933,16822800
2018-05-16,0.234635,0.248094,0.216854,0.240580,0.240580,18379300
2018-05-17,0.240246,0.240947,0.204890,0.208119,0.208119,10257000
2018-05-18,0.208376,0.234276,0.198463,0.233157,0.233157,9054880
2018-05-19,0.233208,0.237912,0.222867,0.227625,0.227625,8487090
2018-05-20,0.227647,0.234285,0.219096,0.227747,0.227747,5522400
2018-05-21,0.229131,0.230944,0.208119,0.221771,0.221771,7583800
2018-05-22,0.221160,0.225335,0.200469,0.201776,0.201776,5936270
2018-05-23,0.201327,0.202497,0.163493,0.174161,0.174161,8382260
2018-05-24,0.173223,0.186369,0.158811,0.177235,0.177235,8577000
2018-05-25,0.176774,0.177880,0.166018,0.168955,0.168955,5312460
2018-05-26,0.168852,0.170868,0.165030,0.165432,0.165432,10354800
2018-05-27,0.165299,0.171123,0.158915,0.163137,0.163137,11973200
2018-05-28,0.162615,0.173841,0.158590,0.162230,0.162230,14102400
2018-05-29,0.161675,0.205384,0.161675,0.194991,0.194991,35007500
2018-05-30,0.194985,0.293211,0.194985,0.289810,0.289810,86228096
2018-05-31,0.288957,0.288957,0.227721,0.245510,0.245510,77200400
2018-06-01,0.245109,0.272383,0.234257,0.263555,0.263555,69645800
2018-06-02,0.264643,0.265873,0.244849,0.254164,0.254164,50267600
2018-06-03,0.254118,0.274051,0.253216,0.270351,0.270351,57555800
2018-06-04,0.268474,0.284551,0.246221,0.255103,0.255103,66826800
2018-06-05,0.254939,0.262105,0.241065,0.259352,0.259352,54832700
2018-06-06,0.259902,0.267556,0.247972,0.255777,0.255777,38196300
2018-06-07,0.256184,0.260908,0.236907,0.238147,0.238147,38647400
2018-06-08,0.237903,0.241202,0.230592,0.231612,0.231612,31270000
2018-06-09,0.231126,0.232703,0.205815,0.207723,0.207723,18450200
2018-06-10,0.208274,0.208274,0.174043,0.178153,0.178153,16662900
2018-06-11,0.178626,0.208607,0.177714,0.202452,0.202452,24479200
2018-06-12,0.202205,0.204753,0.176609,0.181246,0.181246,17487300
2018-06-13,0.181066,0.181381,0.153571,0.162860,0.162860,17028800
2018-06-14,0.162154,0.177322,0.157311,0.173602,0.173602,18278100
2018-06-15,0.173719,0.174009,0.160581,0.163434,0.163434,12376000
2018-06-16,0.162179,0.168255,0.159938,0.165316,0.165316,10557400
2018-06-17,0.165612,0.166498,0.159826,0.160067,0.160067,9977500
2018-06-18,0.159752,0.162639,0.148900,0.160398,0.160398,11404400
2018-06-19,0.160389,0.160942,0.151243,0.152721,0.152721,10041000
2018-06-20,0.152922,0.154592,0.143320,0.148072,0.148072,10195300
2018-06-21,0.148106,0.167534,0.147913,0.153356,0.153356,14347400
2018-06-22,0.153270,0.160943,0.122949,0.125731,0.125731,16644200
2018-06-23,0.126123,0.132324,0.121557,0.124157,0.124157,9094710
2018-06-24,0.124173,0.148054,0.105870,0.137140,0.137140,15576200
2018-06-25,0.136094,0.170054,0.129512,0.160068,0.160068,25638800
2018-06-26,0.159656,0.183117,0.150915,0.153531,0.153531,23885200
2018-06-27,0.153906,0.183258,0.151136,0.163222,0.163222,24540100
2018-06-28,0.163348,0.165271,0.135717,0.138671,0.138671,15120200
2018-06-29,0.138729,0.166395,0.132031,0.157347,0.157347,16340300
2018-06-30,0.159543,0.171491,0.155261,0.162799,0.162799,17938800
2018-07-01,0.162851,0.167123,0.152279,0.162733,0.162733,11309200
2018-07-02,0.162709,0.170129,0.153776,0.163698,0.163698,14097500
2018-07-03,0.163162,0.178059,0.160668,0.164384,0.164384,16200300
2018-07-04,0.164009,0.170658,0.157554,0.162777,0.162777,11521900
2018-07-05,0.162539,0.170752,0.153300,0.154749,0.154749,12232200
2018-07-06,0.154932,0.162975,0.146303,0.157698,0.157698,9517920
2018-07-07,0.157657,0.161348,0.151044,0.161348,0.161348,7336770
2018-07-08,0.161997,0.163043,0.155902,0.157002,0.157002,8221660
2018-07-09,0.157278,0.157348,0.143335,0.143335,0.143335,7916810
2018-07-10,0.143759,0.144516,0.129457,0.129457,0.129457,8177050
2018-07-11,0.129171,0.132608,0.120676,0.128788,0.128788,8025580
2018-07-12,0.128753,0.132205,0.119050,0.128061,0.128061,6726400
2018-07-13,0.127922,0.136386,0.122849,0.125188,0.125188,6231040
2018-07-14,0.125038,0.129359,0.122587,0.126175,0.126175,2817230
2018-07-15,0.126291,0.133632,0.125800,0.129849,0.129849,2775250
2018-07-16,0.129773,0.147195,0.128725,0.147195,0.147195,6319780
2018-07-17,0.146849,0.160095,0.140842,0.158308,0.158308,8182040
2018-07-18,0.158492,0.164387,0.153710,0.156303,0.156303,7831570
2018-07-19,0.156531,0.156531,0.145286,0.147098,0.147098,5214010
2018-07-20,0.147543,0.147543,0.129523,0.129919,0.129919,4717980
2018-07-21,0.129761,0.140837,0.127315,0.137885,0.137885,3149390
2018-07-22,0.137766,0.138646,0.131126,0.132604,0.132604,1951660
2018-07-23,0.132256,0.142865,0.131143,0.139746,0.139746,3104680
2018-07-24,0.143115,0.143115,0.130949,0.136891,0.136891,6915810
2018-07-25,0.136129,0.152827,0.135710,0.143099,0.143099,5596100
2018-07-26,0.142934,0.146924,0.131556,0.133639,0.133639,6128950
2018-07-27,0.133729,0.135365,0.127594,0.132613,0.132613,5490110
2018-07-28,0.132621,0.132812,0.128302,0.130561,0.130561,5602250
2018-07-29,0.131173,0.134445,0.128728,0.133326,0.133326,5669570
2018-07-30,0.133301,0.133301,0.121445,0.126984,0.126984,4648780
2018-07-31,0.127110,0.127110,0.112758,0.112758,0.112758,4279170
2018-08-01,0.112273,0.115382,0.108631,0.113664,0.113664,3994440
2018-08-02,0.113855,0.115080,0.106136,0.106441,0.106441,4378020
2018-08-03,0.106559,0.116647,0.100978,0.111182,0.111182,5151860
2018-08-04,0.111276,0.114190,0.105495,0.107940,0.107940,4104470
2018-08-05,0.107900,0.123792,0.106335,0.121062,0.121062,6556860
2018-08-06,0.120958,0.122963,0.111053,0.116597,0.116597,4634860
2018-08-07,0.116390,0.116978,0.107364,0.107377,0.107377,4177280
2018-08-08,0.107470,0.112989,0.100645,0.102241,0.102241,5923190
2018-08-09,0.102614,0.111347,0.102476,0.108233,0.108233,5810310
2018-08-10,0.108394,0.109173,0.097384,0.099048,0.099048,4971790
2018-08-11,0.098609,0.098646,0.080920,0.085026,0.085026,5461500
2018-08-12,0.085540,0.087175,0.083213,0.083471,0.083471,3977540
2018-08-13,0.083660,0.086718,0.074147,0.074224,0.074224,3485000
2018-08-14,0.074212,0.074221,0.059864,0.066056,0.066056,2762810
2018-08-15,0.066666,0.071132,0.064204,0.065490,0.065490,1546550
2018-08-16,0.066058,0.070802,0.064304,0.066909,0.066909,1789560
2018-08-17,0.066796,0.093243,0.066518,0.093243,0.093243,4771740
2018-08-18,0.092892,0.092959,0.073151,0.076202,0.076202,4679890
2018-08-19,0.076542,0.085972,0.074770,0.083829,0.083829,2751920
2018-08-20,0.084080,0.086407,0.072929,0.073173,0.073173,2035250
2018-08-21,0.072993,0.077312,0.072993,0.075750,0.075750,985220
2018-08-22,0.075877,0.080878,0.069824,0.069898,0.069898,1572040
2018-08-23,0.069255,0.089639,0.069255,0.082871,0.082871,5606580
2018-08-24,0.083363,0.114075,0.081185,0.108487,0.108487,21423200
2018-08-25,0.108517,0.110728,0.102582,0.104977,0.104977,2845540
2018-08-26,0.104491,0.104491,0.095124,0.096721,0.096721,2712600
2018-08-27,0.096829,0.103491,0.094830,0.101263,0.101263,2859670
2018-08-28,0.101514,0.107239,0.100056,0.105555,0.105555,3260650
2018-08-29,0.105588,0.107472,0.099613,0.103055,0.103055,2578550
2018-08-30,0.103109,0.104446,0.096062,0.101931,0.101931,1963860
2018-08-31,0.101660,0.103363,0.099104,0.100584,0.100584,1795060
2018-09-01,0.101105,0.107131,0.100536,0.106410,0.106410,3554600
2018-09-02,0.106294,0.108665,0.102411,0.104454,0.104454,2752500
2018-09-03,0.104782,0.111991,0.103050,0.107608,0.107608,4279250
2018-09-04,0.107119,0.116272,0.106228,0.111364,0.111364,6907780
2018-09-05,0.110834,0.112657,0.091029,0.091029,0.091029,5739420
2018-09-06,0.089835,0.096065,0.085741,0.095640,0.095640,3770850
2018-09-07,0.095299,0.097327,0.088305,0.092417,0.092417,3273710
2018-09-08,0.093146,0.095089,0.086109,0.087147,0.087147,3266880
2018-09-09,0.086858,0.088999,0.083184,0.085213,0.085213,2303710
2018-09-10,0.085212,0.087584,0.083927,0.086557,0.086557,1489510
2018-09-11,0.087261,0.088045,0.080749,0.083051,0.083051,1526770
2018-09-12,0.083194,0.083252,0.075378,0.081898,0.081898,1507510
2018-09-13,0.081667,0.089734,0.081326,0.087414,0.087414,1927750
2018-09-14,0.087351,0.089882,0.081133,0.087274,0.087274,2121140
2018-09-15,0.083059,0.092500,0.081617,0.084740,0.084740,1427940
2018-09-16,0.084730,0.091285,0.080665,0.087033,0.087033,1570920
2018-09-17,0.087631,0.089837,0.079962,0.084844,0.084844,3610190
2018-09-18,0.084328,0.086678,0.080196,0.083572,0.083572,3291510
2018-09-19,0.083436,0.090188,0.082812,0.090005,0.090005,3474490
2018-09-20,0.089353,0.090018,0.083672,0.088428,0.088428,2883910
2018-09-21,0.087946,0.093398,0.087091,0.092676,0.092676,4156430
2018-09-22,0.093121,0.093654,0.086410,0.090991,0.090991,2470820
2018-09-23,0.090316,0.096876,0.087199,0.092446,0.092446,2103240
2018-09-24,0.092929,0.095034,0.084937,0.087809,0.087809,1839520
2018-09-25,0.087787,0.088894,0.081921,0.085640,0.085640,1992480
2018-09-26,0.086590,0.090193,0.082029,0.085718,0.085718,1877340
2018-09-27,0.085670,0.102152,0.081257,0.087439,0.087439,1054470
2018-09-28,0.087480,0.102732,0.083633,0.093869,0.093869,2066100
2018-09-29,0.095410,0.097086,0.084629,0.087516,0.087516,4315980
2018-09-30,0.087576,0.096760,0.086067,0.093378,0.093378,4194300
2018-10-01,0.094096,0.096970,0.087665,0.090818,0.090818,3081620
2018-10-02,0.090620,0.098107,0.090512,0.095145,0.095145,3869540
2018-10-03,0.095218,0.097915,0.087366,0.091469,0.091469,2359440
2018-10-04,0.091107,0.099227,0.090265,0.099227,0.099227,3778740
2018-10-05,0.099528,0.102914,0.094566,0.098549,0.098549,3873210
2018-10-06,0.098920,0.100320,0.092124,0.099481,0.099481,2039840
2018-10-07,0.098608,0.100987,0.096957,0.100619,0.100619,2245010
2018-10-08,0.100548,0.101384,0.096332,0.098601,0.098601,2826650
2018-10-09,0.098755,0.100907,0.095024,0.100051,0.100051,1657670
2018-10-10,0.099966,0.100090,0.094560,0.099233,0.099233,2165460
2018-10-11,0.098879,0.098879,0.080807,0.080807,0.080807,2236190
2018-10-12,0.080660,0.086750,0.080379,0.085968,0.085968,1061840
2018-10-13,0.084889,0.089111,0.082995,0.086403,0.086403,1279940
2018-10-14,0.085349,0.092550,0.084607,0.090106,0.090106,2313540
2018-10-15,0.090498,0.095038,0.086987,0.090784,0.090784,4556870
2018-10-16,0.090667,0.092806,0.089498,0.090439,0.090439,1244890
2018-10-17,0.090712,0.093087,0.089625,0.090005,0.090005,1289920
2018-10-18,0.090263,0.090503,0.086326,0.086995,0.086995,1116630
2018-10-19,0.086797,0.088066,0.085753,0.086773,0.086773,619266
2018-10-20,0.086813,0.088958,0.086367,0.088834,0.088834,458485
2018-10-21,0.088962,0.090108,0.088172,0.088625,0.088625,612284
2018-10-22,0.088578,0.089011,0.087187,0.088826,0.088826,587273
2018-10-23,0.088611,0.090513,0.086796,0.090513,0.090513,993897
2018-10-24,0.090299,0.090433,0.088175,0.088685,0.088685,693581
2018-10-25,0.088455,0.088455,0.086112,0.087079,0.087079,740259
2018-10-26,0.087047,0.087818,0.086222,0.087643,0.087643,389251
2018-10-27,0.087465,0.090591,0.087284,0.088794,0.088794,904007
2018-10-28,0.089304,0.097141,0.088730,0.093958,0.093958,2394780
2018-10-29,0.093484,0.094473,0.086719,0.088431,0.088431,1748820
2018-10-30,0.088432,0.090546,0.087027,0.088966,0.088966,835921
2018-10-31,0.089232,0.090263,0.086901,0.088971,0.088971,770735
2018-11-01,0.089157,0.095580,0.088961,0.093804,0.093804,2391700
